a52dec 0.7.4-12
aalib 1.4rc5-15
abseil-cpp 20220623.1-1
accerciser 3.40.0-1
accounts-qml-module 0.7-4
accountsservice 22.08.8-2
acl 2.3.1-2
adobe-source-code-pro-fonts 2.038ro+1.058it+1.018var-1
adwaita-cursors 43-2
adwaita-icon-theme 43-2
alembic 1.8.4-1
alsa-card-profiles 1:0.3.64-1
alsa-lib 1.2.8-1
alsa-plugins 1:1.2.7.1-1
alsa-topology-conf 1.2.5.1-1
alsa-ucm-conf 1.2.8-1
amd-ucode 20221214.f3c283e-1
amdgpu-pro-libgl-cfe 21.50_1373477-2
amf-amdgpu-pro 22.40_1518373-1
amtk 5.6.1-1
aom 3.5.0-1
apache 2.4.54-3
appstream 0.15.6-1
appstream-glib 0.8.2-1
apr 1.7.0-3
apr-util 1.6.1-11
archlinux-keyring 20221220-1
ardour 7.2-1
argon2 20190702-4
at-spi2-core 2.46.0-2
atkmm 2.28.3-1
attica 5.101.0-1
attr 2.5.1-2
aubio 0.4.9-14
audit 3.0.9-1
autoconf 2.71-1
autoconf-archive 1:2022.09.03-1
automake 1.16.5-1
avahi 0.8+22+gfd482a7-3
awesome-terminal-fonts 1.1.0-4
babl 0.1.98-1
baobab 43.0-1
base 3-1
bash 5.1.016-1
bash-language-server 4.4.0-2
binutils 2.39-4
bison 3.8.2-4
blas 3.11.0-1
blender 17:3.4.1-4
blosc 1.21.3-1
bluez 5.66-1
bluez-libs 5.66-1
bolt 0.9.5-1
boost 1.80.0-3
boost-libs 1.80.0-3
botan 2.19.3-1
box2d 2.4.1-1
breeze 5.26.5-1
breeze-icons 5.101.0-1
breezy 3.3.1-1
brltty 6.5-3
brotli 1.0.9-9
btop 1.2.13-1
btrfs-progs 6.1.2-1
bubblewrap 0.7.0-1
bzip2 1.0.8-5
c-ares 1.18.1-1
ca-certificates 20220905-1
ca-certificates-mozilla 3.87-1
ca-certificates-utils 20220905-1
cairo 1.17.6-2
cairomm 1.14.4-1
calf 0.90.3-5
cantarell-fonts 1:0.303.1-1
capstone 4.0.2-6
cblas 3.11.0-1
cdparanoia 10.2-8
cdrtools 3.02a09-5
cheese 43.0-1
chromaprint 1.5.1-6
chrono-date 3.0.1-3
chrpath 0.16-4
cifs-utils 7.0-2
clang 14.0.6-4
clucene 2.3.3.4-13
clutter 1.26.4-2
clutter-gst 3.0.27-4
clutter-gtk 1.8.4-3
cmake 3.25.1-1
cmark 0.30.2-1
cogl 1.22.8-2
coin 4.0.0.04c190-4
colord 1.4.6-1
colord-gtk-common 0.3.0-2
colord-gtk4 0.3.0-2
colord-sane 1.4.6-1
comgr 5.4.2-1
compiler-rt 14.0.6-1
confuse 3.3-3
convertlit 1.8-11
corectrl 1.3.1-1
coreutils 9.1-3
cpio 2.13-3
cracklib 2.9.8-1
cryptsetup 2.6.0-1
ctags 1:5.9.20220828.0-1
cups-pk-helper 0.2.7-1
curl 7.87.0-3
cython 0.29.33-1
d-spy 1.4.0-1
dav1d 1.0.0-1
davinci-resolve 18.1.2-1
db5.3 5.3.28-2
dbus 1.14.4-1
dbus-glib 0.112-2
dbus-python 1.2.18-3
dconf 0.40.0-2
dconf-editor 43.0-1
debugedit 5.0-4
debuginfod 0.188-1
default-cursors 2-1
desktop-file-utils 0.26-2
devhelp 43.0-1
device-mapper 2.03.18-1
dhclient 4.4.3.P1-1
diffutils 3.8-1
ding-libs 0.6.2-1
discord 0.0.24-1
djvulibre 3.5.28-4
dkms 3.0.9-1
dleyna 0.8.2-1
dmenu 5.2-1
dmraid 1.0.0.rc16.3-14
dnssec-anchors 20190629-3
docbook-xml 4.5-9
docbook-xsl 1.79.2-7
dosfstools 4.2-2
dotconf 1.3-7
double-conversion 3.2.1-1
doxygen 1.9.6-1
draco 1.5.5-2
dtc 1.6.1-4
duktape 2.7.0-5
e2fsprogs 1.46.5-4
easyeffects 7.0.0-2
ebook-tools 0.2.2-7
editorconfig-core-c 0.12.5-1
edk2-ovmf 202211-3
efibootmgr 18-1
efivar 38-2
egl-wayland 2:1.1.11-2
eglexternalplatform 1.1-2
elfutils 0.188-1
ell 0.55-1
embree 3.13.5-1
emmet-vim-git r817.920904c-1
enchant 2.3.3-2
endeavour 43.0-1
eog 43.2-1
epiphany 43.0-1
evince 43.1-2
evolution 3.46.3-1
evolution-data-server 3.46.3-1
exempi 2.6.3-1
exiv2 0.27.5-3
expac 10-5
expat 2.5.0-1
faac 1.30-3
faad2 2.10.1-1
fakeroot 1.30.1-1
fb-client 2.3.0-1
fcft 3.1.5-2
ffmpeg 2:5.1.2-1
ffmpeg4.4 4.4.2-3
fftw 3.3.10-3
file 5.44-1
file-roller 43.0-1
filesystem 2022.10.18-1
findutils 4.9.0-1
firefox 108.0.2-1
five-or-more 3.32.3-1
flac 1.4.2-1
flameshot 12.1.0-1
flatpak 1:1.15.1-1
flatpak-builder 1.2.3-1
flex 2.6.4-3
fluidsynth 2.3.1-1
fmt 9.1.0-4
folks 0.15.5-2
fontconfig 2:2.14.1-2
foot 1.13.1-2
four-in-a-row 3.38.1-1
frameworkintegration 5.101.0-1
freecad 0.20.2-2
freeglut 3.4.0-1
freeimage 3.18.0-17
freerdp 2:2.9.0-1
freetype2 2.12.1-1
frei0r-plugins 2.2.0-1
fribidi 1.0.12-1
fuse-common 3.12.0-1
fuse2 2.9.9-4
fuse3 3.12.0-1
gavl 1.4.0-6
gawk 5.2.1-1
gc 8.2.2-1
gcab 1.5-1
gcc 12.2.0-1
gcc-fortran 12.2.0-1
gcc-libs 12.2.0-1
gcr 3.41.1-3
gcr-4 4.0.0-1
gd 2.3.3-6
gdb 12.1-2
gdb-common 12.1-2
gdbm 1.23-1
gdk-pixbuf2 2.42.10-2
gdm 43.0-1
geary 1:43.0-1
gedit 44.1-1
gegl 0.4.40-4
gengetopt 2.23-2
geoclue 2.6.0-3
geocode-glib-2 3.26.4-2
geocode-glib-common 3.26.4-2
gettext 0.21.1-2
ghc-libs 9.0.2-1
ghex 43.0-1
ghostscript 10.0.0-4
giflib 5.2.1-2
gimp 2.10.32-3
git 2.39.0-1
gjs 2:1.74.1-1
gl2ps 1.4.2-2
glade 3.40.0+r14+g1fbca367-1
glew 2.2.0-6
glib-networking 1:2.74.0-1
glib2 2.74.4-1
glib2-docs 2.74.4-1
glibc 2.36-6
glibmm 2.66.5-1
glm 0.9.9.8-1
glslang 11.13.0-2
glu 9.0.2-3
gmime3 3.2.13-1
gmp 6.2.1-2
gnome-autoar 0.4.3-2
gnome-backgrounds 43-1
gnome-bluetooth-3.0 42.5-1
gnome-boxes 43.2-1
gnome-builder 43.4-1
gnome-calculator 43.0.1-1
gnome-calendar 43.1-1
gnome-characters 43.1-1
gnome-chess 43.1-1
gnome-clocks 43.0-1
gnome-color-manager 3.36.0+r42+g90481514-1
gnome-connections 43.0-1
gnome-console 43.0-1
gnome-contacts 43.0-1
gnome-control-center 43.2-1
gnome-desktop 1:43-1
gnome-desktop-4 1:43-1
gnome-desktop-common 1:43-1
gnome-devel-docs 40.3-1
gnome-disk-utility 43.0-1
gnome-font-viewer 43.0-1
gnome-games 40.0-3
gnome-keyring 1:42.1-2
gnome-klotski 3.38.2-1
gnome-logs 43.0-1
gnome-mahjongg 3.38.3-1
gnome-maps 43.3-1
gnome-menus 3.36.0-2
gnome-mines 40.1-1
gnome-multi-writer 3.32.1-2
gnome-music 1:42.1-1
gnome-nettool 42.0-1
gnome-nibbles 3.38.2+r53+g8de2599-1
gnome-online-accounts 3.46.0-1
gnome-photos 1:43.0-2
gnome-recipes 2.0.4-3
gnome-remote-desktop 43.3-1
gnome-robots 40.0-1
gnome-session 43.0-1
gnome-settings-daemon 43.0-2
gnome-shell 1:43.2-1
gnome-shell-extensions 43.1-1
gnome-software 43.3-1
gnome-sound-recorder 42.0-1
gnome-sudoku 43.0-1
gnome-system-monitor 42.0-1
gnome-taquin 3.38.1+r35+g35edb95-1
gnome-terminal 3.46.7-1
gnome-tetravex 3.38.2-1
gnome-text-editor 43.2-1
gnome-tweaks 42beta+r14+g2d9d76c-2
gnome-usage 3.38.1-1
gnome-user-docs 43.0-1
gnome-user-share 43.0-1
gnome-video-effects 0.5.0+4+g9554041-2
gnome-weather 43.0-1
gnu-free-fonts 20120503-8
gnupg 2.2.40-1
gnutls 3.7.8-4
go 2:1.19.5-1
gobject-introspection-runtime 1.74.0-1
gom 0.4-5
google-chrome 109.0.5414.74-1
gopls 0.11.0-1
gperf 3.1-4
gperftools 2.10-1
gpgme 1.18.0-1
gpm 1.20.7.r38.ge82d1a6-4
gptfdisk 1.0.9-2
graphene 1.10.8-1
graphite 1:1.3.14-2
graphviz 7.0.6-1
grep 3.8-2
grilo 0.3.15-2
grilo-plugins 1:0.3.15-2
grim 1.4.0-2
groff 1.22.4-7
gruvbox-material-gtk-theme-git r18.f56ba878e-1
gruvbox-material-icon-theme-git r18.f56ba878e-1
gsettings-desktop-schemas 43.0-1
gsfonts 20200910-2
gsl 2.7.1-1
gsm 1.0.22-1
gsound 1.0.3-2
gspell 1.12.0-2
gssdp 1.6.2-1
gssproxy 0.9.1-2
gst-editing-services 1.20.5-5
gst-plugin-gtk 1.20.5-5
gst-plugin-pipewire 1:0.3.64-1
gst-plugins-bad 1.20.5-5
gst-plugins-bad-libs 1.20.5-5
gst-plugins-base 1.20.5-5
gst-plugins-base-libs 1.20.5-5
gst-plugins-good 1.20.5-5
gstreamer 1.20.5-5
gtk-doc 1.33.2-1
gtk-layer-shell 0.8.0-1
gtk-update-icon-cache 1:4.8.3-3
gtk-vnc 1.3.1-1
gtk2 2.24.33-2
gtk3 1:3.24.36-1
gtk4 1:4.8.3-3
gtkmm 1:2.24.5-4
gtkmm3 3.24.7-1
gtksourceview4 4.8.4-1
gtksourceview5 5.6.2-1
gts 0.7.6.121130-2
guile 3.0.8-3
gupnp 1:1.6.3-1
gupnp-av 0.14.1-2
gupnp-dlna 0.12.0-2
gupnp-igd 1.2.0-3
gvfs 1.50.3-1
gvfs-afc 1.50.3-1
gvfs-goa 1.50.3-1
gvfs-google 1.50.3-1
gvfs-gphoto2 1.50.3-1
gvfs-mtp 1.50.3-1
gvfs-nfs 1.50.3-1
gvfs-smb 1.50.3-1
gzip 1.12-1
harfbuzz 6.0.0-1
harfbuzz-icu 6.0.0-1
haskell-aeson 2.1.1.0-10
haskell-aeson-pretty 0.8.9-109
haskell-ansi-terminal 0.11.4-11
haskell-ansi-wl-pprint 0.6.9-364
haskell-appar 0.1.8-13
haskell-asn1-encoding 0.9.6-201
haskell-asn1-parse 0.9.5-201
haskell-asn1-types 0.3.4-180
